Это обучение стоит|2
обучение стоит таких|2
стоит таких ОГРОМНЫХ|2
таких ОГРОМНЫХ денег.|2
ОГРОМНЫХ денег. Этот|2
денег. Этот явно|2
Этот явно потерял|2
явно потерял репутацию|2
потерял репутацию студенты|2
репутацию студенты преподавателей|2
студенты преподавателей просто|2
преподавателей просто мусор.|2
«платные дополнительные занятия»,|2
дополнительные занятия», «подарки»|2
занятия», «подарки» тому|2
Весь выпускной класс|1
выпускной класс одноклассниками|1
класс одноклассниками шутили,|1
одноклассниками шутили, сдадим|1
шутили, сдадим ЕГЭ|1
